company_1,company_2,article_count
Citigroup,Vivo,1
Goldman Sachs,Nomura Group,1
Credit Suisse,Nomura Group,1
Citigroup,Virtu Financial,1
Nissan,Tesla,1
General Electric,SPX Corporation,1
Baker Hughes,SPX Corporation,1
AMD,Raytheon,1
AstraZeneca,Sempra,1
Nintendo,T. Rowe Price,1
Novartis,Pall Corporation,1
MSCI,Mitsubishi UFJ Financial Group,1
MSCI,Mizuho Financial Group,1
Dell EMC,IBM,1
Dell EMC,Microsoft,1
Morgan Stanley,Salesforce,1
AT&T,American Express,1
American Express,Hewlett-Packard,1
American Express,Xerox,1
Hewlett-Packard,Xerox,1
AGL Resources,FTI Consulting,1
American Airlines,Citigroup,1
American Airlines Group,Citigroup,1
Amazon,Johnson & Johnson,1
Johnson & Johnson,Morgan Stanley,1
First Midwest Bancorp,International,1
American Express,MoneyGram,1
McDonald's,Shell,1
McDonald's,eBay,1
Nissan,Shell,1
Nissan,eBay,1
Shell,eBay,1
Charter Communications,Motorola Mobility,1
DuPont,Lifeway Foods,1
Hasbro,UBS,1
Mattel,UBS,1
Accenture,Hewlett-Packard,1
Accenture,eBay,1
Google,Hewlett-Packard,1
Hewlett-Packard,eBay,1
LPL Financial,Virtu Financial,1
Microsoft,Tyler Technologies,1
Amgen,Regeneron Pharmaceuticals,1
Amgen,Sanofi,1
Regeneron Pharmaceuticals,Sanofi,1
DuPont,Renewable Energy Group,1
Abbott Laboratories,Johnson & Johnson,1
Vedanta Resources,Walmart,1
Broadcom,International,1
HubSpot,News Corp,1
AMD,Qualcomm,1
American Airlines,Qualcomm,1
General Electric,Qualcomm,1
Citigroup,Walmart,1
GlobalFoundries,Google,1
Google,Qualcomm,1
Ryder,Tesla,1
Church & Dwight,Newell Brands,1
Church & Dwight,Reynolds American,1
Newell Brands,Reynolds American,1
MAA,Post Properties,1
IBM,Verizon Communications,1
Microsoft,Starbucks,1
Ferrari,Tesla,1
Kimberly-Clark,Starbucks,1
Kimberly-Clark,Walmart,1
Starbucks,Walmart,1
Juniper Networks,Salesforce,1
Juniper Networks,Synopsys,1
Juniper Networks,Trulia,1
Juniper Networks,Tyler Technologies,1
Microsoft,Synopsys,1
Microsoft,Trulia,1
Orchard Therapeutics,Wynn Resorts,1
AstraZeneca,Mallinckrodt Pharmaceuticals,1
AstraZeneca,Sucampo Pharmaceuticals,1
Mallinckrodt Pharmaceuticals,Sucampo Pharmaceuticals,1
General Electric,IBM,1
AT&T,ArcelorMittal,1
ArcelorMittal,CME Group,1
Aetna,Sun Life Financial,1
Synopsys,TD Ameritrade,1
Salesforce,Trulia,1
Salesforce,Tyler Technologies,1
Synopsys,Trulia,1
Synopsys,Tyler Technologies,1
Trulia,Tyler Technologies,1
AstraZeneca,National Grid,1
National Grid,Unilever,1
Deutsche Bank,Shell,1
Ryanair,Shell,1
BlackRock,Comcast,1
Boeing,Huntington Ingalls Industries,1
Elanco,Eli Lilly and Company,1
Logitech,Smith & Nephew,1
ExxonMobil,General Electric,1
DigitalGlobe,Maxar Technologies,1
Express,Visa,1
Safeway,Starbucks,1
Honda,Tesla,1
Cavium,Marvell Technology,1
Cavium,Qualcomm,1
Marvell Technology,Qualcomm,1
Salesforce,Synopsys,1
MGM Resorts International,Orchard Therapeutics,1
Citigroup,Lazard,1
Lazard,Morgan Stanley,1
Bristol-Myers Squibb,Nektar Therapeutics,1
General Mills,Whole Foods Market,1
Delta Air Lines,Marriott International,1
Abbott Laboratories,Jazz Pharmaceuticals,1
Scotiabank,Teck Resources,1
Microsoft,The Coca-Cola Company,1
AT&T,Salesforce,1
Broadcom,LSI Corporation,1
HubSpot,Qualtrics,1
International,Investors Bank,1
Harte Hanks,SurveyMonkey,1
Siemens,Texas Instruments,1
Liberty Global,Nokia,1
Deutsche Bank,Ryanair,1
Calpine,Talen Energy,1
Biogen,Novartis,1
Biogen,Vertex Pharmaceuticals,1
Novartis,Vertex Pharmaceuticals,1
Amgen,Morgan Stanley,1
