company,company_id,exchange,ticker,industry,company_url
,Q312,Nasdaq,AAPL,digital distribution,http://www.wikidata.org/entity/Q312
,Q7240,New York Stock Exchange,LMT,weapons industry,http://www.wikidata.org/entity/Q7240
,Q66,New York Stock Exchange,BA,weapons industry,http://www.wikidata.org/entity/Q66
,Q7706196,Nasdaq,TTEK,professional service,http://www.wikidata.org/entity/Q7706196
,Q7843323,New York Stock Exchange,GTS,insurance industry,http://www.wikidata.org/entity/Q7843323
,Q7847653,New York Stock Exchange,TRLA,real estate industry,http://www.wikidata.org/entity/Q7847653
,Q6036100,Nasdaq,INOD,information technology,http://www.wikidata.org/entity/Q6036100
,Q130326112,New York Stock Exchange,K,food processing,http://www.wikidata.org/entity/Q130326112
,Q125886451,New York Stock Exchange,TBBB,retail,http://www.wikidata.org/entity/Q125886451
,Q3884,Nasdaq,AMZN,retail,http://www.wikidata.org/entity/Q3884
,Q7801348,Nasdaq,,software industry,http://www.wikidata.org/entity/Q7801348
,Q7880250,Nasdaq,ULTI,software industry,http://www.wikidata.org/entity/Q7880250
,Q7885165,Nasdaq,DAEG,software industry,http://www.wikidata.org/entity/Q7885165
,Q7830012,Nasdaq,CLUB,health club,http://www.wikidata.org/entity/Q7830012
,Q7876533,New York Stock Exchange,UI,computer network,http://www.wikidata.org/entity/Q7876533
,Q1066858,New York Stock Exchange,TIF,jewelry,http://www.wikidata.org/entity/Q1066858
,Q1053560,New York Stock Exchange,CNP,electricity generation,http://www.wikidata.org/entity/Q1053560
,Q5508431,Nasdaq,FULT,finance,http://www.wikidata.org/entity/Q5508431
,Q5532813,New York Stock Exchange,,health care,http://www.wikidata.org/entity/Q5532813
,Q5533670,Nasdaq,GTIV,health care,http://www.wikidata.org/entity/Q5533670
,Q5690400,New York Stock Exchange,EHC,health care,http://www.wikidata.org/entity/Q5690400
,Q5578424,Nasdaq,GLNG,LNG carrier,http://www.wikidata.org/entity/Q5578424
,Q5972866,New York Stock Exchange,IO,petroleum,http://www.wikidata.org/entity/Q5972866
,Q5508083,Nasdaq,FLL,gambling,http://www.wikidata.org/entity/Q5508083
,Q5514677,New York Stock Exchange,IGT,gambling,http://www.wikidata.org/entity/Q5514677
,Q5579415,Nasdaq,GDEN,gambling,http://www.wikidata.org/entity/Q5579415
,Q2283,Nasdaq,MSFT,software development,http://www.wikidata.org/entity/Q2283
,Q19900,Nasdaq,ORCL,software development,http://www.wikidata.org/entity/Q19900
,Q19900,New York Stock Exchange,ORCL,software development,http://www.wikidata.org/entity/Q19900
,Q135832869,Nasdaq,VSNT,cable television,http://www.wikidata.org/entity/Q135832869
,Q1053299,New York Stock Exchange,CRH,building material,http://www.wikidata.org/entity/Q1053299
,Q1073540,New York Stock Exchange,CHA,terrestrial television,http://www.wikidata.org/entity/Q1073540
,Q5648633,Nasdaq,HAFC,bank,http://www.wikidata.org/entity/Q5648633
,Q6016398,Nasdaq,IBCP,bank,http://www.wikidata.org/entity/Q6016398
,Q1046951,New York Stock Exchange,TGT,retail chain,http://www.wikidata.org/entity/Q1046951
,Q963809,Nasdaq,PLCM,video conference,http://www.wikidata.org/entity/Q963809
,Q5629085,New York Stock Exchange,HCC,insurance,http://www.wikidata.org/entity/Q5629085
,Q5649395,New York Stock Exchange,THG,insurance,http://www.wikidata.org/entity/Q5649395
,Q966556,Nasdaq,SHLD,retail,http://www.wikidata.org/entity/Q966556
,Q967265,New York Stock Exchange,KSS,retail,http://www.wikidata.org/entity/Q967265
,Q1002992,New York Stock Exchange,BBW,retail,http://www.wikidata.org/entity/Q1002992
,Q1053372,New York Stock Exchange,,retail,http://www.wikidata.org/entity/Q1053372
,Q5511828,Nasdaq,GK,tertiary sector of the economy,http://www.wikidata.org/entity/Q5511828
,Q11407,New York Stock Exchange,VMW,software industry,http://www.wikidata.org/entity/Q11407
,Q5674337,New York Stock Exchange,HHS,marketing,http://www.wikidata.org/entity/Q5674337
,Q5926631,New York Stock Exchange,HUBS,marketing,http://www.wikidata.org/entity/Q5926631
,Q970695,Nasdaq,NTRS,financial services,http://www.wikidata.org/entity/Q970695
,Q1023765,New York Stock Exchange,,financial services,http://www.wikidata.org/entity/Q1023765
,Q1034654,New York Stock Exchange,COF,financial services,http://www.wikidata.org/entity/Q1034654
,Q1066028,New York Stock Exchange,SCHW,financial services,http://www.wikidata.org/entity/Q1066028
,Q1094313,New York Stock Exchange,BSAC,financial services,http://www.wikidata.org/entity/Q1094313
,Q7705659,Nasdaq,TSRA,technology company,http://www.wikidata.org/entity/Q7705659
,Q7880076,Nasdaq,ULTA,cosmetics industry,http://www.wikidata.org/entity/Q7880076
,Q125003256,Nasdaq,FUSN,pharmaceutical industry,http://www.wikidata.org/entity/Q125003256
,Q136654090,Nasdaq,PRPH,pharmaceutical industry,http://www.wikidata.org/entity/Q136654090
,Q950419,Nasdaq,MELI,e-commerce,http://www.wikidata.org/entity/Q950419
,Q1074666,New York Stock Exchange,CQB,agribusiness,http://www.wikidata.org/entity/Q1074666
,Q1023155,Nasdaq,CDW,business-to-business,http://www.wikidata.org/entity/Q1023155
,Q132775404,Nasdaq,RHLD,financial services,http://www.wikidata.org/entity/Q132775404
,Q135683211,Nasdaq,PYPL,financial services,http://www.wikidata.org/entity/Q135683211
,Q5584725,Nasdaq,GMAN,retail,http://www.wikidata.org/entity/Q5584725
,Q5609934,Nasdaq,GO,retail,http://www.wikidata.org/entity/Q5609934
,Q5680343,Nasdaq,,retail,http://www.wikidata.org/entity/Q5680343
,Q5750102,New York Stock Exchange,HGG,retail,http://www.wikidata.org/entity/Q5750102
,Q7865088,Nasdaq,UMBF,financial sector,http://www.wikidata.org/entity/Q7865088
,Q1045758,New York Stock Exchange,UTX,holding company,http://www.wikidata.org/entity/Q1045758
,Q5598232,New York Stock Exchange,GTN,terrestrial television,http://www.wikidata.org/entity/Q5598232
,Q1009458,New York Stock Exchange,BG,food industry,http://www.wikidata.org/entity/Q1009458
,Q1030544,New York Stock Exchange,CPB,food industry,http://www.wikidata.org/entity/Q1030544
,Q127324768,New York Stock Exchange,FUN,hospitality industry,http://www.wikidata.org/entity/Q127324768
,Q1418,New York Stock Exchange,NOK,networking hardware,http://www.wikidata.org/entity/Q1418
,Q1061903,New York Stock Exchange,LYV,show business,http://www.wikidata.org/entity/Q1061903
,Q1112588,Nasdaq,COLM,textile industry,http://www.wikidata.org/entity/Q1112588
,Q5547514,New York Stock Exchange,AXLL,chemical industry,http://www.wikidata.org/entity/Q5547514
,Q5696498,New York Stock Exchange,HL,mining,http://www.wikidata.org/entity/Q5696498
,Q136565240,Nasdaq,SMPL,food industry,http://www.wikidata.org/entity/Q136565240
,Q6047075,New York Stock Exchange,,wholesale,http://www.wikidata.org/entity/Q6047075
,Q135181390,Nasdaq,GCL,video game industry,http://www.wikidata.org/entity/Q135181390
,Q8093,Nasdaq,NTDOY,video game industry,http://www.wikidata.org/entity/Q8093
,Q7796068,New York Stock Exchange,THO,Motor Vehicle Body Manufacturing,http://www.wikidata.org/entity/Q7796068
,Q7808625,New York Stock Exchange,WORK,business software industry,http://www.wikidata.org/entity/Q7808625
