company,company_id,ticker,industry,company_url
Delta Air Lines,Q188920,DAL,aviation,http://www.wikidata.org/entity/Q188920
Deutsche Bank,Q66048,DB,financial services,http://www.wikidata.org/entity/Q66048
Diageo,Q161140,DEO,beverage industry,http://www.wikidata.org/entity/Q161140
DigitalOcean,Q17052116,DOCN,cloud computing,http://www.wikidata.org/entity/Q17052116
Discover Financial,Q5281775,DFS,financial services,http://www.wikidata.org/entity/Q5281775
Dole plc,Q492747,DOLE,agribusiness,http://www.wikidata.org/entity/Q492747
Dollar General,Q145168,DG,retail,http://www.wikidata.org/entity/Q145168
Domino's Pizza,Q839466,DPZ,,http://www.wikidata.org/entity/Q839466
DoorDash,Q20714323,DASH,logistics,http://www.wikidata.org/entity/Q20714323
Dover Corporation,Q16974527,DOV,mechanical engineering,http://www.wikidata.org/entity/Q16974527
Dow Inc.,Q62739842,DOW,chemical industry,http://www.wikidata.org/entity/Q62739842
Dr Pepper Snapple Group,Q1254149,DPS,beverage industry,http://www.wikidata.org/entity/Q1254149
DuPont,Q221062,DD,chemical industry,http://www.wikidata.org/entity/Q221062
Duke Energy,Q1264404,DUK,electricity generation,http://www.wikidata.org/entity/Q1264404
EMCOR,Q5370289,EME,engineering,http://www.wikidata.org/entity/Q5370289
Eastman Chemical Company,Q899022,EMN,industrial manufacturing,http://www.wikidata.org/entity/Q899022
Eaton Corporation,Q48872,ETN,industrial manufacturing,http://www.wikidata.org/entity/Q48872
Ecolab,Q1282031,ECL,conglomerate,http://www.wikidata.org/entity/Q1282031
Edison International,Q662095,EIX,electricity generation,http://www.wikidata.org/entity/Q662095
Elevance Health,Q677488,ELV,health insurance,http://www.wikidata.org/entity/Q677488
Embraer,Q105557,ERJ,weapons industry,http://www.wikidata.org/entity/Q105557
Emergent,Q5370757,EBS,pharmaceutical industry,http://www.wikidata.org/entity/Q5370757
Equifax,Q5384453,EFX,,http://www.wikidata.org/entity/Q5384453
Estée Lauder,Q1260606,EL,cosmetics industry,http://www.wikidata.org/entity/Q1260606
Everyday Health,Q5417806,,,http://www.wikidata.org/entity/Q5417806
Exelon,Q1383669,EXC,energy industry,http://www.wikidata.org/entity/Q1383669
Extra Space Storage,Q5422162,EXR,self storage,http://www.wikidata.org/entity/Q5422162
ExxonMobil,Q156238,XOM,petroleum industry,http://www.wikidata.org/entity/Q156238
Fastly,Q34045622,FSLY,computer security,http://www.wikidata.org/entity/Q34045622
